sex,BMI,height,weight
M,33.36,187.96,117.93392
M,26.54,177.8,83.91452
F,32.13,154.94,77.11064
M,26.62,172.72,79.3786
F,27.13,167.64,76.203456
M,24.39,177.8,77.11064
F,24.47,165.1,66.678024
F,25.38,162.56,67.131616
M,23.3,165.1,63.50288
M,27.45,167.64,77.11064
F,38.76,154.94,92.98636
F,34.97,154.94,83.91452
M,23.3,165.1,63.50288
F,23.57,172.72,70.30676
F,22.32,162.56,58.96696
F,27.46,162.56,72.57472
F,21.0,167.64,58.96696
M,25.82,170.18,74.84268
M,39.31,182.88,131.54168
F,23.63,154.94,56.699
F,29.13,165.1,79.3786
F,19.84,154.94,47.62716
M,22.93,167.64,64.410064
F,27.46,162.56,72.57472
M,29.15,182.88,97.52228
F,27.46,162.56,72.57472
M,22.32,162.56,58.96696
M,28.61,180.34,92.98636
F,31.73,162.56,83.91452
M,30.52,182.88,102.0582
M,29.99,177.8,94.800728
F,37.95,167.64,106.59412
M,17.97,187.96,63.50288
M,27.41,193.04,102.0582
M,27.36,172.72,81.64656
F,22.29,167.64,62.595696
F,32.29,167.64,90.7184
M,34.69,175.26,106.59412
F,32.13,154.94,77.11064
F,36.88,162.56,97.52228
F,21.79,167.64,61.23492
F,18.45,175.26,56.699
M,23.43,167.64,65.77084
M,23.72,180.34,77.11064
M,28.61,180.34,92.98636
F,20.39,160.02,52.16308
M,26.62,172.72,79.3786
M,18.74,190.5,68.0388
M,30.86,162.56,81.64656
F,21.93,157.48,54.43104
F,24.14,165.1,65.77084
F,32.94,162.56,87.089664
F,31.26,152.4,72.57472
F,23.78,157.48,58.96696
F,26.47,154.94,63.50288
F,30.12,160.02,77.11064
M,32.55,182.88,108.86208
M,29.83,182.88,99.79024
F,19.49,160.02,49.89512
M,27.41,170.18,79.3786
F,29.13,165.1,79.3786
M,27.12,162.56,71.667536
F,34.01,154.94,81.64656
F,19.05,167.64,53.523856
M,32.1,165.1,87.543256
M,28.73,172.72,85.728888
F,22.32,162.56,58.96696
M,23.01,180.34,74.84268
F,19.96,165.1,54.43104
F,24.81,160.02,63.50288
F,24.89,162.56,65.77084
M,27.11,182.88,90.7184
F,21.65,165.1,58.96696
M,24.27,180.34,78.925008
M,27.38,182.88,91.625584
F,29.16,162.56,77.11064
F,24.95,165.1,68.0388
M,25.77,182.88,86.18248
M,29.52,175.26,90.7184
F,21.65,167.64,60.781328
F,23.15,162.56,61.23492
F,23.89,167.64,67.131616
M,26.55,175.26,81.64656
F,21.92,170.18,63.50288
F,35.53,167.64,99.79024
F,24.61,149.86,55.338224
F,19.55,152.4,45.3592
F,24.67,157.48,61.23492
M,27.27,177.8,86.18248
F,21.76,154.94,52.16308
F,21.79,167.64,61.23492
F,36.56,157.48,90.7184
F,19.57,170.18,56.699
F,32.89,149.86,73.935496
F,30.15,177.8,95.25432
F,25.03,167.64,70.30676
F,25.4,152.4,58.96696
M,33.46,172.72,99.79024
F,29.76,170.18,86.18248
F,18.31,165.1,49.89512
M,27.9,180.34,90.7184
F,22.7,160.02,58.059776
F,28.36,160.02,72.57472
M,23.32,180.34,75.749864
M,21.92,170.18,63.50288
F,28.29,165.1,77.11064
F,34.71,167.64,97.52228
F,19.37,167.64,54.43104
F,24.39,177.8,77.11064
M,25.85,172.72,77.11064
F,42.36,162.56,112.037224
F,32.9,157.48,81.64656
F,41.42,152.4,96.161504
M,22.43,185.42,77.11064
F,24.04,172.72,71.667536
F,25.6,157.48,63.50288
F,46.14,154.94,110.676448
M,27.44,165.1,74.84268
M,31.51,167.64,88.45044
